Record ID,Date,Region,Lead Source,Leads Generated,Demo Calls,Deals Closed,Revenue (INR),Marketing Spend (INR),Sales Hours Spent
SLS-0001,2026-01-01,West,Email Campaign,163,21,4,257000,47500,49.2
SLS-0002,2026-01-02,South,Google Ads,109,27,3,198000,83500,37.7
SLS-0003,2026-01-02,East,Referral,95,41,19,698000,23000,62.7
SLS-0004,2026-01-04,North,Email Campaign,54,9,2,125000,14000,18.9
SLS-0005,2026-01-05,South,Google Ads,89,19,2,101000,70500,36.7
SLS-0006,2026-01-05,South,Webinar,90,27,4,206000,45000,35.6
SLS-0007,2026-01-08,West,Google Ads,165,28,5,393000,105000,65.2
SLS-0008,2026-01-09,West,LinkedIn,160,51,12,876000,98000,53.5
SLS-0009,2026-01-09,West,LinkedIn,62,18,4,245000,40000,31.5
SLS-0010,2026-01-12,West,LinkedIn,67,20,4,265000,49000,27.9
SLS-0011,2026-01-13,Central,Google Ads,129,29,1,45000,119500,44.7
SLS-0012,2026-01-14,West,Email Campaign,177,29,5,384000,49000,62.2
SLS-0013,2026-01-14,South,Website,73,21,1,58000,34000,22.6
SLS-0014,2026-01-15,South,LinkedIn,88,29,4,206000,63500,34.1
SLS-0015,2026-01-15,West,Referral,156,66,16,872000,34500,83.5
SLS-0016,2026-01-15,West,Referral,151,55,21,1340000,32500,77.3
SLS-0017,2026-01-15,South,LinkedIn,117,35,9,531000,63500,46.8
SLS-0018,2026-01-15,Central,Google Ads,37,6,1,48000,33000,13.1
SLS-0019,2026-01-18,West,Website,142,19,3,194000,56500,39.5
SLS-0020,2026-01-21,East,Referral,70,21,4,194000,18000,31.2
SLS-0021,2026-01-21,East,Google Ads,174,46,11,393000,143000,57.9
SLS-0022,2026-01-21,East,Website,179,30,6,347000,79000,66.0
SLS-0023,2026-01-22,Central,Website,171,50,7,479000,79000,76.6
SLS-0024,2026-01-24,South,Google Ads,108,27,2,85000,84000,37.3
SLS-0025,2026-01-27,North,Email Campaign,167,29,6,369000,51500,52.0
SLS-0026,2026-01-28,West,LinkedIn,143,42,10,559000,85500,60.2
SLS-0027,2026-01-28,West,Google Ads,37,9,2,115000,30500,15.4
SLS-0028,2026-01-29,North,Google Ads,68,14,1,45000,60500,16.8
SLS-0029,2026-02-02,West,Webinar,81,27,2,120000,45500,34.5
SLS-0030,2026-02-02,South,Referral,99,45,16,1362000,26000,48.2
SLS-0031,2026-02-04,East,Referral,61,21,6,345000,16000,30.7
SLS-0032,2026-02-04,North,Referral,147,59,14,926000,31500,78.8
SLS-0033,2026-02-05,West,Webinar,126,34,11,845000,61500,63.9
SLS-0034,2026-02-06,East,LinkedIn,60,15,4,145000,38000,26.3
SLS-0035,2026-02-07,Central,Website,43,12,3,171000,19000,17.1
SLS-0036,2026-02-09,North,Website,152,41,8,566000,61000,67.6
SLS-0037,2026-02-10,Central,LinkedIn,151,40,11,700000,103500,66.3
SLS-0038,2026-02-10,West,Webinar,64,20,3,146000,31500,27.1
SLS-0039,2026-02-11,South,Email Campaign,87,20,5,428000,24500,37.9
SLS-0040,2026-02-13,South,LinkedIn,83,21,2,122000,52500,30.1
SLS-0041,2026-02-14,West,Website,126,23,5,369000,55000,45.0
SLS-0042,2026-02-17,East,Website,151,42,6,342000,61500,60.2
SLS-0043,2026-02-17,South,LinkedIn,180,64,9,498000,123500,62.1
SLS-0044,2026-02-18,South,LinkedIn,156,43,13,881000,101500,72.1
SLS-0045,2026-02-19,West,Webinar,168,58,14,1101000,94000,78.7
SLS-0046,2026-02-20,South,Website,79,16,5,226000,38000,29.6
SLS-0047,2026-02-20,West,Email Campaign,143,24,3,209000,44000,47.7
SLS-0048,2026-02-21,Central,Email Campaign,144,19,5,304000,45000,59.7
SLS-0049,2026-02-22,East,Webinar,160,43,10,411000,83500,67.2
SLS-0050,2026-02-22,East,Webinar,167,60,16,961000,88500,94.8
SLS-0051,2026-02-22,West,Website,46,16,3,216000,20000,16.5
SLS-0052,2026-02-23,Central,LinkedIn,180,50,9,476000,140500,60.2
SLS-0053,2026-02-23,North,Google Ads,114,19,3,199000,90000,38.6
SLS-0054,2026-02-24,North,Referral,120,41,11,471000,28500,63.6
SLS-0055,2026-02-27,South,Google Ads,175,38,7,378000,140000,55.5
SLS-0056,2026-02-28,East,Email Campaign,39,7,1,34000,12000,12.4
SLS-0057,2026-03-01,West,Google Ads,53,12,1,52000,33000,14.1
